dateStr,tme,long,short,longNum,shortNum,pnl,turnover
20210104,93900,514.999817,-514.499878,2059,2058,-0.000591,0.000000
20210104,103900,514.999817,-514.499878,2059,2058,0.000151,0.000000
20210104,130900,514.999817,-514.499878,2059,2058,0.000043,0.000000
20210104,140900,514.999817,-514.499878,2059,2058,0.000343,0.000000
20210105,93900,515.000000,-514.499939,2059,2058,0.000538,1.935903
20210105,103900,515.000000,-514.499939,2059,2058,0.000086,1.935903
20210105,130900,515.000000,-514.499939,2059,2058,0.000714,1.935903
20210105,140900,515.000000,-514.499939,2059,2058,0.000582,1.935903
20210106,93900,515.125122,-514.625061,2060,2059,-0.000127,0.008696
20210106,103900,515.125122,-514.625061,2060,2059,-0.001752,0.008696
20210106,130900,515.125122,-514.625061,2060,2059,-0.002115,0.008696
20210106,140900,515.125122,-514.625061,2060,2059,-0.001392,0.008696
20210107,93900,515.125122,-514.624756,2060,2059,-0.002721,0.005914
20210107,103900,515.125122,-514.624756,2060,2059,-0.003142,0.005914
20210107,130900,515.125122,-514.624756,2060,2059,-0.002442,0.005914
20210107,140900,515.125122,-514.624756,2060,2059,-0.002931,0.005914
20210108,93900,515.499817,-515.000244,2061,2060,-0.003071,0.010554
20210108,103900,515.499817,-515.000244,2061,2060,-0.002176,0.010554
20210108,130900,515.499817,-515.000244,2061,2060,-0.001967,0.010554
20210108,140900,515.499817,-515.000244,2061,2060,-0.000634,0.010554
20210111,93900,515.875122,-515.375122,2063,2062,0.000705,0.009309
20210111,103900,515.875122,-515.375122,2063,2062,0.001776,0.009309
20210111,130900,515.875122,-515.375122,2063,2062,0.000473,0.009309
20210111,140900,515.875122,-515.375122,2063,2062,-0.001218,0.009309
20210112,93900,515.875183,-515.374878,2063,2062,-0.001424,0.008464
20210112,103900,515.875183,-515.374878,2063,2062,-0.002977,0.008464
20210112,130900,515.875183,-515.374878,2063,2062,-0.002725,0.008464
20210112,140900,515.875183,-515.374878,2063,2062,-0.001851,0.008464
20210113,93900,515.999939,-515.499634,2063,2062,-0.001220,0.007690
20210113,103900,515.999939,-515.499634,2063,2062,0.001211,0.007690
20210113,130900,515.999939,-515.499634,2063,2062,0.001637,0.007690
20210113,140900,515.999939,-515.499634,2063,2062,0.000908,0.007690
20210114,93900,516.124878,-515.625061,2064,2063,0.002545,0.008548
20210114,103900,516.124878,-515.625061,2064,2063,0.003342,0.008548
20210114,130900,516.124878,-515.625061,2064,2063,0.005168,0.008548
20210114,140900,516.124878,-515.625061,2064,2063,0.004199,0.008548
20210115,93900,516.250061,-515.749817,2064,2063,0.002861,0.008037
20210115,103900,516.250061,-515.749817,2064,2063,-0.000326,0.008037
20210115,130900,516.250061,-515.749817,2064,2063,-0.002439,0.008037
20210115,140900,516.250061,-515.749817,2064,2063,-0.000837,0.008037
