20181017	-1710077.706941	1019514251.295342	1019514251.295342	-0.001710	1000000000.000000	24661206.676577	0	3544434.000000	-1710077.706941	0.000000	-32888013.210625
20181018	194739.562071	1019708990.857413	1019708990.857413	0.000195	1000000000.000000	7118795.660901	0	1236881.000000	194739.562071	0.000000	-33496873.333751
20181019	-218386.507850	1019490604.349563	1019490604.349563	-0.000218	1000000000.000000	70552458.278456	0	11171527.000000	-218386.507850	0.000000	-29452057.335000
20181022	-600199.375271	1018890404.974292	1018890404.974292	-0.000600	1000000000.000000	44331775.961297	0	5716838.000000	-600199.375271	0.000000	-33135824.324375
20181023	94664.592247	1018985069.566539	1018985069.566539	0.000095	1000000000.000000	39600738.591093	0	6503109.000000	94664.592247	0.000000	-33372108.933906
20181024	-859004.986848	1018126064.579691	1018126064.579691	-0.000859	1000000000.000000	179869663.617893	0	28972266.000000	-859004.986848	0.000000	-23624543.875624
20181025	828978.083824	1018955042.663515	1018955042.663515	0.000829	1000000000.000000	146665445.945507	0	21595170.000000	828978.083824	0.000000	-17644544.563749
20181026	-794282.420917	1018160760.242598	1018160760.242598	-0.000794	1000000000.000000	236793155.234237	0	34677717.000000	-794282.420917	0.000000	-16270982.797500
20181029	-1556026.482630	1016604733.759969	1016604733.759969	-0.001556	1000000000.000000	377907018.126521	0	56032027.000000	-1556026.482630	0.000000	-16736154.988749
20181030	566420.912673	1017171154.672642	1017171154.672642	0.000566	1000000000.000000	194402623.354653	0	27273013.000000	566420.912673	0.000000	-8607990.498750
20181031	-519903.754554	1016651250.918087	1016651250.918087	-0.000520	1000000000.000000	707115620.710000	0	111079124.000000	-519903.754554	0.000000	19591650.356249
20181101	-572574.632944	1016078676.285143	1016078676.285143	-0.000573	1000000000.000000	423233670.894817	0	72679547.000000	-572574.632944	0.000000	38564294.439375
20181102	2076931.315666	1018155607.600809	1018155607.600809	0.002077	1000000000.000000	7650901.390753	0	1285835.000000	2076931.315666	0.000000	36940179.226875
20181105	-1054540.219153	1017101067.381656	1017101067.381656	-0.001055	1000000000.000000	23485891.630369	0	4788266.000000	-1054540.219153	0.000000	40246033.442500
20181106	192626.223401	1017293693.605057	1017293693.605057	0.000193	1000000000.000000	2483884.106151	0	344921.000000	192626.223401	0.000000	42905307.983750
20181107	141556.296495	1017435249.901553	1017435249.901553	0.000142	1000000000.000000	15750740.569527	0	2904082.000000	141556.296495	0.000000	43187774.804375
20181108	-81747.792954	1017353502.108598	1017353502.108598	-0.000082	1000000000.000000	1469902.070720	0	268001.000000	-81747.792954	0.000000	41635871.825000
20181109	574394.731339	1017927896.839938	1017927896.839938	0.000574	1000000000.000000	5772862.688509	0	665780.000000	574394.731339	0.000000	40358192.469374
20181112	-195228.366743	1017732668.473194	1017732668.473194	-0.000195	1000000000.000000	8088195.286271	0	1121621.000000	-195228.366743	0.000000	39499669.628750
20181113	53299.412372	1017785967.885566	1017785967.885566	0.000053	1000000000.000000	38197995.937327	0	6198995.000000	53299.412372	0.000000	38013636.715625
20181114	-725657.366680	1017060310.518886	1017060310.518886	-0.000726	1000000000.000000	1047210.367487	0	122145.000000	-725657.366680	0.000000	38340617.408126
20181115	1688469.677398	1018748780.196284	1018748780.196284	0.001688	1000000000.000000	19211232.827799	0	3340378.000000	1688469.677398	0.000000	39006180.221875
20181116	-540119.845637	1018208660.350647	1018208660.350647	-0.000540	1000000000.000000	2241902.350612	0	110102.000000	-540119.845637	0.000000	36226165.276250
20181119	-2562039.746011	1015646620.604635	1015646620.604635	-0.002562	1000000000.000000	24325759.793422	0	4477082.000000	-2562039.746011	0.000000	35048486.224374
20181120	-2567929.559870	1013078691.044765	1013078691.044765	-0.002568	1000000000.000000	484592.111473	0	53542.000000	-2567929.559870	0.000000	32975570.004375
20181121	870638.617886	1013949329.662651	1013949329.662651	0.000871	1000000000.000000	2651759.180954	0	485530.000000	870638.617886	0.000000	31185845.424375
20181122	1562897.859416	1015512227.522067	1015512227.522067	0.001563	1000000000.000000	924849.656161	0	130805.000000	1562897.859416	0.000000	31821390.573125
20181123	349798.845681	1015862026.367748	1015862026.367748	0.000350	1000000000.000000	1964328.840798	0	283373.000000	349798.845681	0.000000	31775194.221249
20181126	-2242459.192483	1013619567.175265	1013619567.175265	-0.002242	1000000000.000000	0.000000	0	0.000000	-2242459.192483	0.000000	29837447.016876
20181127	35882.574749	1013655449.750014	1013655449.750014	0.000036	1000000000.000000	24408654.530825	0	4624922.000000	35882.574749	0.000000	29893104.400000
